uuid;id_evolution;id_voie_provisoire_gauche;id_voie_provisoire_droite;cleabs;geometrie;sens_de_circulation;type_d_adressage;prive;importance;nature;nombre_de_voies;acces;identifiant_fpb_voie_droite;identifiant_fpb_voie_gauche;commentaire_collecteur;ordrefinevol;wkt
25d87d6ba765345a97a42c2232b60da9;bf862389b681abba8d7385e4882d3bcc;a1b48f526b94f4f02064a4e3eaf3543a;a1b48f526b94f4f02064a4e3eaf3543a;TRONROUT0000000002480261;0102000000060000009A999999DB5B17416666668612CE5841CDCCCCCCCA5B1741000000E010CE584100000000B65B1741000000200ECE584166666666A85B1741333333730CCE584166666666A05B1741000000400BCE584166666666985B1741333333330ACE5841;;;;;;;;335440115;335440115;;2;LINESTRING(382710.9 6502474.1,382706.7 6502467.5,382701.5 6502456.5,382698.1 6502449.8,382696.1 6502445,382694.1 6502440.8)
61d67f5b10038ef0bf5efff55ed14a97;260f6379ec018b00107e32e034e1707a;;;TRONROUT0000000002545875;0102000000070000009A99999957591941CDCCCC8C4685584133333333935919416666664633855841CDCCCCCCD2591941333333D33285584133333333ED591941000000802F855841CDCCCCCCEE591941666666862B855841CDCCCCCCC8591941333333532985584100000000205A19419A9999D90A855841;;;;;;;;330750243;330750243;;;LINESTRING(415317.9 6427930.2,415332.8 6427853.1,415348.7 6427851.3,415355.3 6427838,415355.7 6427822.1,415346.2 6427813.3,415368 6427691.4)
fa4004543e30cccb40815bacf49db8b7;260f6379ec018b00107e32e034e1707a;074c174058a40abaeed148fd4d8d3d64;074c174058a40abaeed148fd4d8d3d64;TRONROUT0000000002545863;010200000003000000CDCCCCCC925819416666668675855841CDCCCCCCB6581941000000206B855841666666662E591941CDCCCC2C49855841;;;;;;;;330750243;330750243;;;LINESTRING(415268.7 6428118.1,415277.7 6428076.5,415307.6 6427940.7)
c20dccf3008223292a896aa32bf5953c;032c6a8137f5b95a0a27cb1e286618ae;506430acdb8fa6f958e9abc80276f3ff;506430acdb8fa6f958e9abc80276f3ff;;010200000002000000247BB3313B6319412A75BF6231855841EDDF5A9E6A651941017B6AA2F4845841;;;;;;;;;;;;LINESTRING(415950.798536228 6427845.54293565,416090.654643535 6427602.53774905)
a036b96450f66877b9e1f8199b64c32f;2c5e08afda9aeb082333b556b05a2eff;d4d02875f93c1d85c001ce75b8afef73;d4d02875f93c1d85c001ce75b8afef73;;010200000002000000FC2DAAB412EC1A413574711D8987584172380B2111EC1A41F1BA3F2F68875841;;;;;;;;;;;;LINESTRING(441092.676430434 6430244.46004968,441092.282269365 6430112.73826479)
bd0b8248cd052df976093af4bfaa7cef;76675b028b4e6190be9007967af159c2;2ff80d61944aa2300a74bf6a059134d9;2ff80d61944aa2300a74bf6a059134d9;;010200000002000000F0E4A115BDE51A41A50443C649875841FD90C8109BE61A414C69FE9398875841;;;;;;;;;;;;LINESTRING(440687.27112539 6429991.09784046,440742.7663901 6430306.31240303)
d33dbd576edd1a79f40c8cbdc3763601;5597c048dd075a8253a996634c53a947;71dc62fc20aca2ebfd95e9e5756107ab;71dc62fc20aca2ebfd95e9e5756107ab;;010200000008000000A8A888C3CDD81A414FDE994C84885841BAE508B0B3D81A410208D94F838858417277D15E96D81A41ABB9617A7D8858417C5D72FB53D81A417401476B75885841542075AE3AD81A417DA54986708858414819402D2BD81A4146E41C9C6D885841629EE07107D81A4192057CDA6A8858411A917E7BEFD71A410CE06E7E6A885841;;;;;;;;;;;;LINESTRING(439859.440951 6431249.19689138,439852.921908941 6431245.24762154,439845.592595927 6431221.91221468,439828.995553456 6431189.67620884,439822.670368676 6431170.09824502,439818.79418983 6431158.43926341,439809.861208415 6431147.41381969,439803.870600002 6431145.97551728)
69d44716892083394191b91d21f503b1;ed9efebf955e40dccfe21ef5647dd28a;162b8da46c330f75ea8136c92caed634;162b8da46c330f75ea8136c92caed634;;010200000004000000CD7461BA90601941DFFAD2F9B2845841F2886F830B611941A837B18AB88458415452464F066219411E09D546B1845841E666A4153662194119CA2FABB1845841;;;;;;;;;;;;LINESTRING(415780.182012391 6427339.9035022,415810.87835516 6427362.16706649,415873.577416693 6427333.10675266,415885.521134956 6427334.67479184)
07d6f1af58ff89ba33c4d12b31dfa181;51644dea2feb61a594210b6ac83a0c76;bb7d0d0bf12b4ef28d4ae2aa2b62db25;bb7d0d0bf12b4ef28d4ae2aa2b62db25;TRONROUT0000000002373702;01020000000400000000000000FAF61A419A9999B9A4875841CDCCCCCCEAF61A4100000020A1875841CDCCCCCCA0F61A41333333B3928758413333333389F61A41CDCCCC8C8F875841;;;;;;;;331740140;331740140;;2;LINESTRING(441790.5 6430354.9,441786.7 6430340.5,441768.2 6430282.8,441762.3 6430270.2)
c2a78e6c7d8c42fb499925d10836195b;51644dea2feb61a594210b6ac83a0c76;bb7d0d0bf12b4ef28d4ae2aa2b62db25;bb7d0d0bf12b4ef28d4ae2aa2b62db25;TRONROUT0000000002373645;0102000000090000006666666684F61A419A9999D98E875841CDCCCCCC50F61A41666666C687875841CDCCCCCCF8F51A41666666267E8758410000000082F51A4166666686728758413333333327F51A41CDCCCCAC698758419A9999990FF51A419A99997967875841CDCCCCCCF6F41A41666666A665875841CDCCCCCC64F41A41CDCCCC6C5F8758419A9999991FF41A419A9999195C875841;;;;;;;;331740140;331740140;;2;LINESTRING(441761.1 6430267.4,441748.2 6430239.1,441726.2 6430200.6,441696.5 6430154.1,441673.8 6430118.7,441667.9 6430109.9,441661.7 6430102.6,441625.2 6430077.7,441607.9 6430064.4)
