"uuid";"id_evolution";"id_voie_provisoire";"cleabs";"numero";"indice_de_repetition";"complement_d_adressage";"commentaire_collecteur";"geometrie";"lien_vers_objet_support";"cle_abs_sga";"ordrefinevol";"cote";"identifiant_adresse_sga";"designation_de_l_entree";"wkt"
"98f178ebc3eccfc951ed74a389d550d3";"b757afeecb32ef15fdb5aa87391fcf59";"";"45ce393e-f67c-cafe-5834-6876936bdbc9";"5";"";"";"";"01010000006EEE2BB212FA1A41687A38D39A875841";"TRONROUT0000000002373689";"";"";"";"";"";"POINT(441988.67399571 6430315.30032215)"
"7388b3b688dcb3c9b874ff25ee62a909";"ed8d22280f5c1f6588dcbce8a1514519";"";"a60887e7-77ea-078f-44cb-615e3a93dce7";"10";"";"";"";"010100000012B619ECA7F71A414CACF73E9E875841";"TRONROUT0000000002358238";"";"";"";"";"";"POINT(441833.98056683 6430328.98386676)"
"e170bb4452066830d3a4566880ca0633";"287d9a2431bad920a316656182f92e43";"";"ADRNIVX_0000000000140658";"11";"";"";"";"010100000066F7FDB8EEF81A41ECBA4D5095875841";"TRONROUT0000000002373689";"";"";"";"";"";"POINT(441915.680656305 6430293.25474427)"
"fca3e49e6ac20a14df0b0eee649a5f4f";"5cbfa170bcff4416e4aac394c4ec03c4";"";"ADRNIVX_0000000000140662";"17";"";"";"";"0101000000C8CCCCCCDCF81A41F8FFFF5F9A875841";"TRONROUT0000000002373689";"";"";"";"";"";"POINT(441911.2 6430313.49999999)"
"9d2b667c9edfbaeb84987eb86ddca0fc";"959ead3868191e850d0de07716b1b09d";"";"ADRNIVX_0000000000140710";"40";"";"";"";"01010000009299999989F71A41C1CCCC2CA1875841";"TRONROUT0000000002373691";"";"";"";"";"";"POINT(441826.4 6430340.69999999)"
"5b44da37ce3232cca811b634b067e642";"51ef200a6504b0b64e118056cbf44c50";"";"ADRNIVX_0000000000140667";"9002";"";"";"";"01010000002CAEBE48B8F81A41A88154169B875841";"TRONROUT0000000002373689";"";"";"";"";"";"POINT(441902.071039888 6430316.34890787)"
"05627a55ab79edfad859450b49075a08";"51ef200a6504b0b64e118056cbf44c50";"";"ADRNIVX_0000000000140653";"6";"";"";"";"0101000000F7E4C71175F91A41BDA8590297875841";"TRONROUT0000000002373689";"";"";"";"";"";"POINT(441949.267364099 6430300.03672236)"
"4155d134cd37102a2caa213b69437233";"a53014af0e6dda7434e321088769d807";"";"7001eb31-c8f4-e9a9-a00a-2ab35b04e148";"100";"";"";"";"0101000000C251FEE315F61A41A5F6F879A8875841";"TRONROUT0000000002373690";"";"";"";"";"";"POINT(441733.472649839 6430369.90582052)"
"d67d571d0f7e7c0e5b3587d7961d1b01";"a8ab87b39f3c45dd8376f885ca2751b0";"";"ADRNIVX_0000000000169323";"722";"";"";"";"0101000000C5CCCCCC2C621741C3CCCC2C39D05841";"TRONROUT0000000002479742";"";"";"";"";"";"POINT(383115.2 6504676.69999999)"
"c5a167d85becd1823ac2cfb3402be15e";"4094879d3a6b4ae68c572b1a7120312d";"3242f045fe6665f1a8ea286cf41c6ef7";"";"1";"";"";"";"01010000002269EFB7F2EA1A41E6D313C67A875841";"";"";"";"";"";"";"POINT(441020.679624217 6430187.09496019)"
"3e8a8bc43da1d97042e6b8b48cc26b68";"4094879d3a6b4ae68c572b1a7120312d";"3242f045fe6665f1a8ea286cf41c6ef7";"";"2";"";"";"";"01010000002D79B7AD0EEB1A4155C8DF7A7A875841";"";"";"";"";"";"";"POINT(441027.669645208 6430185.9199086)"
"f0efc82bb7bf9bbec8dc7a7dc34edd6d";"4094879d3a6b4ae68c572b1a7120312d";"3242f045fe6665f1a8ea286cf41c6ef7";"";"3";"";"";"";"01010000009CDA17D36BEA1A417F799DE048875841";"";"";"";"";"";"";"POINT(440986.956145683 6429987.50961149)"
